TimeCEST,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC
4:30 AM,11.0,9.0,88,1006,10.0,SSW,18.5,-,N/A,Rain,Light Rain,200,2014-05-11 02:30:00
5:00 AM,11,9,82,1006,25,SW,18.0,,,,Partly Cloudy,220,2014-05-11 03:00:00
5:00 AM,11.0,9.0,88,1006,10.0,SSW,22.2,-,N/A,,Scattered Clouds,210,2014-05-11 03:00:00
5:30 AM,11.0,9.0,88,1006,10.0,SW,22.2,-,N/A,,Partly Cloudy,220,2014-05-11 03:30:00
6:00 AM,11,9,87,1006,50,SW,18.0,,,Rain,Light Rain,220,2014-05-11 04:00:00
6:00 AM,11.0,9.0,88,1006,-9999.0,SSW,18.5,-,N/A,,Clear,210,2014-05-11 04:00:00
6:30 AM,11.0,9.0,88,1006,-9999.0,SSW,20.4,-,N/A,,Clear,210,2014-05-11 04:30:00
7:00 AM,10,8,82,1007,60,SW,18.0,,,,Scattered Clouds,220,2014-05-11 05:00:00
7:00 AM,11.0,8.0,82,1006,-9999.0,SW,22.2,-,N/A,,Clear,220,2014-05-11 05:00:00
7:30 AM,12.0,8.0,77,1007,-9999.0,SW,31.5,-,N/A,,Clear,220,2014-05-11 05:30:00
8:00 AM,11,6,63,1007,70,WSW,25.2,,,,Partly Cloudy,250,2014-05-11 06:00:00
8:00 AM,11.0,6.0,71,1006,-9999.0,WSW,27.8,-,N/A,,Clear,240,2014-05-11 06:00:00
8:30 AM,11.0,7.0,76,1006,-9999.0,SW,25.9,-,N/A,,Clear,230,2014-05-11 06:30:00
9:00 AM,12,8,68,1007,75,SW,21.6,,,,Scattered Clouds,220,2014-05-11 07:00:00
9:00 AM,12.0,8.0,77,1007,-9999.0,SW,25.9,-,N/A,,Clear,220,2014-05-11 07:00:00
9:30 AM,12.0,7.0,72,1007,10.0,SW,29.6,-,N/A,,Partly Cloudy,220,2014-05-11 07:30:00
10:00 AM,12,7,60,1007,75,WSW,21.6,,,,Partly Cloudy,240,2014-05-11 08:00:00
10:00 AM,12.0,7.0,72,1007,10.0,SW,29.6,-,N/A,,Scattered Clouds,230,2014-05-11 08:00:00
10:30 AM,13.0,7.0,67,1007,10.0,WSW,22.2,-,N/A,,Scattered Clouds,240,2014-05-11 08:30:00
11:00 AM,12,8,69,1008,40,WSW,25.2,,,Rain,Light Rain Showers,250,2014-05-11 09:00:00
11:00 AM,11.0,8.0,82,1007,10.0,West,25.9,-,N/A,Rain,Light Rain Showers,260,2014-05-11 09:00:00
11:13 AM,13.0,8.0,72,1007,10.0,West,22.2,-,N/A,,Scattered Clouds,260,2014-05-11 09:13:00
11:30 AM,12.0,7.0,72,1007,10.0,WSW,18.5,-,N/A,,Scattered Clouds,240,2014-05-11 09:30:00
12:00 PM,14,7,54,1007,75,WSW,25.2,,,Rain,Light Rain Showers,250,2014-05-11 10:00:00
12:00 PM,14.0,8.0,67,1007,10.0,WSW,27.8,-,N/A,,Scattered Clouds,250,2014-05-11 10:00:00
12:30 PM,13.0,6.0,63,1007,10.0,WSW,31.5,-,N/A,,Scattered Clouds,240,2014-05-11 10:30:00
1:00 PM,13,5,47,1007,75,WSW,25.2,,,,Scattered Clouds,240,2014-05-11 11:00:00
1:00 PM,13.0,5.0,58,1007,10.0,WSW,33.3,-,N/A,,Partly Cloudy,240,2014-05-11 11:00:00
1:30 PM,14.0,6.0,59,1006,10.0,WSW,31.5,-,N/A,,Partly Cloudy,240,2014-05-11 11:30:00
2:00 PM,14,6,45,1006,75,WSW,25.2,,,,Partly Cloudy,240,2014-05-11 12:00:00
2:00 PM,15.0,6.0,55,1006,10.0,WSW,25.9,-,N/A,,Scattered Clouds,250,2014-05-11 12:00:00
2:30 PM,14.0,5.0,55,1006,10.0,WSW,24.1,-,N/A,,Scattered Clouds,240,2014-05-11 12:30:00
3:00 PM,15,5,37,1006,75,WSW,28.8,,,Rain,Light Rain Showers,250,2014-05-11 13:00:00
3:00 PM,15.0,5.0,51,1006,10.0,WSW,27.8,46.3,N/A,,Scattered Clouds,250,2014-05-11 13:00:00
3:30 PM,15.0,4.0,48,1006,10.0,WSW,42.6,-,N/A,,Scattered Clouds,250,2014-05-11 13:30:00
4:00 PM,14,5,43,1006,75,West,32.4,,,Rain,Light Rain Showers,270,2014-05-11 14:00:00
4:00 PM,14.0,5.0,55,1006,10.0,West,38.9,-,N/A,Rain,Light Rain Showers,260,2014-05-11 14:00:00
4:30 PM,13.0,5.0,58,1005,10.0,WSW,25.9,-,N/A,,Partly Cloudy,240,2014-05-11 14:30:00
4:41 PM,13.0,4.0,54,1006,10.0,WSW,27.8,46.3,N/A,Rain,Light Rain Showers,240,2014-05-11 14:41:00
5:00 PM,11,6,68,1007,30,West,25.2,,,Rain,Light Rain Showers,270,2014-05-11 15:00:00
5:00 PM,11.0,7.0,76,1006,10.0,WSW,24.1,-,N/A,Rain,Light Rain Showers,250,2014-05-11 15:00:00
5:08 PM,11.0,6.0,71,1006,10.0,West,22.2,-,N/A,,Partly Cloudy,260,2014-05-11 15:08:00
5:30 PM,13.0,6.0,63,1006,10.0,WSW,18.5,-,N/A,,Partly Cloudy,250,2014-05-11 15:30:00
6:00 PM,13,6,50,1006,75,West,18.0,,,Rain,Light Rain Showers,260,2014-05-11 16:00:00
6:00 PM,13.0,6.0,63,1006,10.0,West,22.2,-,N/A,,Partly Cloudy,260,2014-05-11 16:00:00
6:30 PM,14.0,6.0,59,1006,10.0,West,18.5,-,N/A,,Scattered Clouds,260,2014-05-11 16:30:00
6:42 PM,13.0,3.0,51,1006,10.0,WSW,27.8,50.0,N/A,,Scattered Clouds,250,2014-05-11 16:42:00
7:00 PM,13,4,40,1006,70,West,25.2,,,,Partly Cloudy,270,2014-05-11 17:00:00
7:00 PM,13.0,4.0,54,1006,-9999.0,West,31.5,-,N/A,,Clear,260,2014-05-11 17:00:00
7:16 PM,12.0,3.0,54,1006,-9999.0,West,14.8,-,N/A,,Clear,260,2014-05-11 17:16:00
7:30 PM,12.0,4.0,58,1006,-9999.0,WSW,14.8,-,N/A,,Clear,250,2014-05-11 17:30:00
8:00 PM,12,4,51,1007,70,WSW,10.8,,,,Partly Cloudy,240,2014-05-11 18:00:00
8:00 PM,12.0,4.0,58,1006,-9999.0,WSW,11.1,-,N/A,,Clear,250,2014-05-11 18:00:00
8:30 PM,11.0,5.0,67,1006,10.0,SSW,13.0,-,N/A,,Partly Cloudy,200,2014-05-11 18:30:00
9:00 PM,10,5,68,1007,70,SSW,10.8,,,,Scattered Clouds,200,2014-05-11 19:00:00
9:00 PM,10.0,6.0,76,1006,10.0,SSW,11.1,-,N/A,,Partly Cloudy,200,2014-05-11 19:00:00
9:30 PM,9.0,5.0,76,1006,-9999.0,SSW,11.1,-,N/A,,Clear,200,2014-05-11 19:30:00
10:00 PM,8,4,73,1007,70,SW,10.8,,,,Scattered Clouds,220,2014-05-11 20:00:00
10:00 PM,8.0,4.0,76,1006,-9999.0,SSW,11.1,-,N/A,,Clear,210,2014-05-11 20:00:00
10:30 PM,8.0,4.0,76,1007,-9999.0,WSW,13.0,-,N/A,,Clear,240,2014-05-11 20:30:00
11:00 PM,9,4,62,1008,60,WSW,21.6,,,,Scattered Clouds,240,2014-05-11 21:00:00
11:00 PM,9.0,4.0,71,1007,-9999.0,SW,22.2,-,N/A,,Clear,230,2014-05-11 21:00:00
11:30 PM,9.0,4.0,71,1007,-9999.0,WSW,20.4,-,N/A,,Clear,240,2014-05-11 21:30:00
